,h_id,r_id,t_id,predicted_head,similar_triples
0,1678,7,9202,True,0
1,17935,9,35175,True,0
2,785,8,23537,True,0
3,16176,4,33688,True,0
4,18671,0,11241,True,0
5,15582,0,4030,True,0
6,19165,0,2969,True,0
7,16748,6,29001,True,0
8,31740,0,1183,True,0
9,26184,1,32091,True,0
10,4194,1,6975,True,0
11,15602,0,4367,True,0
12,24512,1,24859,True,0
13,33182,0,5053,True,0
14,5945,6,10270,True,0
15,5109,0,22368,True,0
16,20774,0,8060,True,0
17,12274,1,9268,True,0
18,12842,1,15886,True,0
19,13394,1,3789,True,0
20,38200,3,8055,True,0
21,36698,0,586,True,0
22,38212,2,121,True,0
23,40757,0,1311,True,0
24,18270,1,18269,True,0
25,13049,0,4990,True,0
26,29179,1,10971,True,0
27,23886,0,6769,True,0
28,30612,0,4411,True,0
29,14866,0,3633,True,0
30,35748,0,11399,True,0
31,31413,0,15186,True,0
32,20145,0,11015,True,0
33,40728,5,914,True,0
34,5734,1,377,True,0
35,1255,6,24915,True,0
36,14244,1,11981,True,0
37,19390,0,4369,True,0
38,10990,1,4301,True,0
39,16398,1,2783,True,0
40,31737,0,16660,True,0
41,40758,0,6286,True,0
42,40759,0,45,True,0
43,30663,4,40225,True,0
44,14235,0,20549,True,0
45,15727,0,20842,True,0
46,28017,0,10090,True,0
47,32851,1,11382,True,0
48,21858,0,14369,True,0
49,34003,0,20650,True,0
50,5656,1,624,True,0
51,32035,1,33317,True,0
52,6074,0,11052,True,0
53,31355,4,35983,True,0
54,10203,0,23680,True,0
55,34114,4,1598,True,0
56,15430,4,617,True,0
57,40760,0,3796,True,0
58,27089,0,25460,True,0
59,38920,0,20791,True,0
60,26740,0,15987,True,0
61,33592,0,3640,True,0
62,21749,0,16741,True,0
63,40287,6,21134,True,0
64,14022,1,6297,True,0
65,40761,0,448,True,0
66,23685,1,146,True,0
67,24780,0,39997,True,0
68,40762,0,1763,True,0
69,6572,1,6944,True,0
70,4031,1,9327,True,0
71,37067,1,10473,True,0
72,23647,0,1338,True,0
73,23277,0,13709,True,0
74,3947,0,12235,True,0
75,12250,1,12717,True,0
76,271,6,40026,True,0
77,14931,1,36099,True,0
78,14576,5,2971,True,0
79,7443,1,25067,True,0
80,16880,0,18633,True,0
81,17282,0,228,True,0
82,40763,0,987,True,0
83,20046,0,4696,True,0
84,8415,2,7033,True,0
85,15870,1,18392,True,0
86,25546,5,914,True,0
87,3787,1,8742,True,0
88,11482,1,10803,True,0
89,2901,0,30222,True,0
90,13394,0,3459,True,0
91,10581,4,27666,True,0
92,11449,2,6220,True,0
93,258,6,35861,True,0
94,25183,3,11235,True,0
95,15107,1,15106,True,0
96,20809,4,32206,True,0
97,4981,1,17073,True,0
98,16542,0,4523,True,0
99,10161,1,10160,True,0
100,26185,1,15249,True,0
101,1771,1,1770,True,0
102,24128,0,8842,True,0
103,26157,1,31405,True,0
104,6096,1,29574,True,0
105,31306,6,34770,True,0
106,65,9,439,True,0
107,9078,1,23938,True,0
108,10215,0,5164,True,0
109,1559,8,14508,True,0
110,23501,0,1668,True,0
111,20112,1,27611,True,0
112,29717,0,30926,True,0
113,40020,0,17095,True,0
114,23138,0,1929,True,0
115,15970,1,3369,True,0
116,8306,2,25327,True,0
117,32633,1,5596,True,0
118,30166,0,5644,True,0
119,36968,0,18425,True,0
120,4765,1,4764,True,0
121,13604,2,251,True,0
122,37309,0,30216,True,0
123,38488,0,19873,True,0
124,21703,2,1136,True,0
125,35289,1,33808,True,0
126,7560,1,5488,True,0
127,3087,1,18847,True,0
128,29206,1,25712,True,0
129,4485,0,608,True,0
130,40764,0,29777,True,0
131,13128,0,959,True,0
132,14092,1,7130,True,0
133,40765,0,18,True,0
134,37609,0,25129,True,0
135,3268,1,10028,True,0
136,40766,0,35564,True,0
137,15729,1,12999,True,0
138,35258,4,25396,True,0
139,38187,1,29741,True,0
140,40767,0,15247,True,0
141,1678,7,30089,True,0
142,27131,1,17012,True,0
143,15936,0,23068,True,0
144,7803,1,13968,True,0
145,40572,0,32910,True,0
146,14004,0,25065,True,0
147,32733,0,248,True,0
148,30194,0,7722,True,0
149,23606,0,4877,True,0
150,30622,0,2318,True,0
151,3443,1,12083,True,0
152,4423,0,24850,True,0
153,1038,4,40447,True,0
154,23751,4,8080,True,0
155,25625,5,2176,True,0
156,29637,0,28168,True,0
157,19621,0,11241,True,0
158,785,7,11761,True,0
159,17924,0,7315,True,0
160,13300,0,11301,True,0
161,34851,4,31118,True,0
162,20006,0,608,True,0
163,40242,0,24346,True,0
164,26644,1,16054,True,0
165,8110,0,12168,True,0
166,22455,6,27199,True,0
167,7288,1,36878,True,0
168,40768,0,1784,True,0
169,27441,0,25270,True,0
170,12380,1,20717,True,0
171,176,1,25906,True,0
172,40769,0,10981,True,0
173,24894,0,7247,True,0
174,17047,0,13439,True,0
175,40770,0,3005,True,0
176,12740,4,40747,True,0
