,h_id,r_id,t_id,predicted_head,similar_triples
0,15833,1,3098,True,551
1,4065,13,65442,True,15
2,47839,1,1433,True,77
3,67943,2,15647,True,58
4,28604,24,14533,True,51
5,86509,2,164,True,511
6,88231,1,1542,True,356
7,71019,3,75381,True,4
8,93245,7,23,True,61044
9,61033,2,950,True,115
10,80933,0,2964,True,272
11,8070,2,2175,True,501
12,87716,1,12933,True,257
13,78975,2,7607,True,158
14,21530,9,628,True,1179
15,99234,2,4332,True,157
16,22034,1,13574,True,4
17,36059,2,31593,True,73
18,42184,2,18037,True,82
19,63343,2,1611,True,99
20,114749,1,8382,True,127
21,2080,1,3444,True,95
22,83154,2,304,True,206
23,12445,2,15912,True,20
24,54987,4,111786,True,4
25,21883,6,15325,True,79
26,6042,2,5535,True,186
27,61301,8,3068,True,54
28,24555,2,5005,True,245
29,59327,2,10478,True,170
30,7171,26,106200,True,1
31,64426,1,3245,True,309
32,82598,6,25464,True,6
33,67449,1,2101,True,142
34,72884,15,28750,True,8
35,71366,1,1255,True,121
36,76324,2,7590,True,104
37,76853,1,59,True,356
38,107047,0,24573,True,12
39,20363,1,1285,True,506
40,98608,2,56374,True,2
41,25615,1,1004,True,450
42,19159,1,41679,True,27
43,101340,12,102640,True,4
44,55342,23,92129,True,0
45,66980,1,1425,True,159
46,34105,2,7071,True,71
47,11157,7,23,True,61044
48,35337,2,7367,True,288
49,25585,1,16156,True,88
50,123155,6,219,True,868
51,10760,19,8905,True,0
52,52542,1,346,True,368
53,56165,2,20550,True,52
54,46661,2,681,True,272
55,20145,6,28617,True,1
56,80525,2,11086,True,26
57,17654,1,17655,True,74
58,25121,14,106826,True,23
59,73704,0,2087,True,114
60,120014,0,111771,True,0
61,91456,0,93476,True,5
62,8533,1,6056,True,102
63,10882,7,23,True,61044
64,75186,0,52848,True,29
65,8948,1,13481,True,74
66,64150,1,983,True,464
67,19013,1,508,True,335
68,48479,1,56788,True,16
69,66984,2,2390,True,384
70,51983,2,8136,True,211
71,15632,17,27120,True,2
72,103161,2,47287,True,9
73,57245,7,23,True,61044
74,61368,0,268,True,10173
75,15195,15,35619,True,8
76,27237,2,6654,True,163
77,41895,2,2762,True,95
78,41321,4,62819,True,4
79,106200,26,13131,True,1
80,47669,3,68364,True,0
81,6629,4,104319,True,3
82,73157,1,124,True,484
83,62204,1,334,True,218
84,49513,1,23903,True,5
85,47893,18,98948,True,0
86,118317,0,98184,True,6
87,78673,8,8938,True,44
88,101835,14,6663,True,10
89,4384,1,3800,True,112
90,69214,14,19284,True,130
91,8714,2,5775,True,433
92,24748,2,35658,True,45
93,50623,1,6719,True,95
94,39843,1,5589,True,82
95,67549,1,8386,True,58
96,107215,0,1488,True,47
97,9094,1,81,True,606
