,r_id,relationClass
0,0,M-N
1,1,1-N
2,2,M-N
3,3,M-N
4,4,M-N
5,5,M-N
6,6,M-N
7,7,M-N
8,8,M-N
9,9,M-N
10,10,M-N
11,11,M-1
12,12,M-N
13,13,M-N
14,14,M-N
15,15,M-N
16,16,M-1
17,17,M-N
18,18,M-N
19,19,M-N
20,20,M-N
21,21,M-N
22,22,1-N
23,23,M-N
24,24,M-1
25,25,M-1
26,26,M-N
27,27,M-N
28,28,M-1
29,29,M-N
30,30,M-N
31,31,M-N
32,32,M-N
33,33,M-1
34,34,M-1
35,35,M-N
36,36,M-N
37,37,M-N
38,38,M-N
39,39,M-1
40,40,M-N
41,41,M-N
42,42,M-N
43,43,M-1
44,44,M-N
45,45,M-N
46,46,M-1
47,47,M-N
48,48,M-1
49,49,M-N
50,50,1-N
51,51,M-1
52,52,M-N
53,53,1-1
54,54,1-1
55,55,1-N
56,56,1-1
57,57,M-N
58,58,M-N
59,59,1-N
60,60,M-1
61,61,M-N
62,62,M-1
63,63,1-N
64,64,M-N
65,65,M-N
66,66,M-N
67,67,M-N
68,68,M-N
69,69,M-N
70,70,M-N
71,71,1-N
72,72,M-N
73,73,M-N
74,74,M-1
75,75,M-N
76,76,M-N
77,77,M-N
78,78,1-N
79,79,M-N
80,80,M-1
81,81,1-1
82,82,M-1
83,83,M-1
84,84,M-1
85,85,M-1
86,86,M-1
87,87,1-N
88,88,M-N
89,89,M-N
90,90,M-1
91,91,M-1
92,92,M-N
93,93,M-N
94,94,1-1
95,95,M-N
96,96,M-N
97,97,M-N
98,98,M-N
99,99,M-N
100,100,M-1
101,101,M-N
102,102,1-N
103,103,M-N
104,104,M-N
105,105,M-1
106,106,M-1
107,107,M-N
108,108,M-1
109,109,M-1
110,110,M-1
111,111,M-1
112,112,M-N
113,113,M-1
114,114,M-N
115,115,M-1
116,116,M-1
117,117,M-N
118,118,M-1
119,119,M-N
120,120,M-1
121,121,M-N
122,122,M-N
123,123,M-N
124,124,M-1
125,125,1-N
126,126,1-N
127,127,M-1
128,128,M-1
129,129,M-1
130,130,M-N
131,131,M-N
132,132,1-N
133,133,M-1
134,134,M-N
135,135,M-1
136,136,M-1
137,137,M-N
138,138,M-1
139,139,M-1
140,140,1-N
141,141,M-N
142,142,M-N
143,143,M-1
144,144,1-1
145,145,M-N
146,146,1-1
147,147,M-1
148,148,M-N
149,149,1-N
150,150,M-N
151,151,M-N
152,152,M-N
153,153,1-N
154,154,M-1
155,155,M-1
156,156,M-N
157,157,M-N
158,158,1-N
159,159,M-1
160,160,M-1
161,161,1-N
162,162,M-1
163,163,M-N
164,164,1-1
165,165,1-N
166,166,M-1
167,167,M-1
168,168,1-N
169,169,M-N
170,170,M-N
171,171,M-N
172,172,M-1
173,173,1-N
174,174,M-N
175,175,1-1
176,176,M-N
177,177,M-N
178,178,M-N
179,179,M-N
180,180,M-N
181,181,M-1
182,182,M-1
183,183,M-1
184,184,M-1
185,185,M-1
186,186,M-1
187,187,M-1
188,188,M-N
189,189,1-N
190,190,1-1
191,191,M-1
192,192,1-1
193,193,M-1
194,194,1-1
195,195,M-1
196,196,1-1
197,197,M-N
198,198,M-N
199,199,M-1
200,200,M-1
201,201,1-1
202,202,M-1
203,203,M-1
204,204,M-N
205,205,M-1
206,206,M-1
207,207,1-N
208,208,M-1
209,209,M-1
210,210,M-1
211,211,1-N
212,212,M-1
213,213,M-1
214,214,M-N
215,215,1-N
216,216,M-N
217,217,M-1
218,218,M-N
219,219,M-1
220,220,M-N
221,221,M-1
222,222,M-1
223,223,M-1
224,224,M-1
225,225,M-1
226,226,1-1
227,227,M-N
228,228,1-1
229,229,M-N
230,230,1-1
231,231,M-N
232,232,M-1
233,233,1-N
234,234,M-1
235,235,M-1
236,236,M-1
