,h_id,r_id,t_id,predicted_head,similar_triples
0,3919,11,39,True,3928
1,1211,2,7345,True,28
2,14262,2,337,True,2178
3,16366,2,599,True,170
4,1742,1,4570,True,46
5,413,2,98,True,288
6,8676,2,485,True,2502
7,13857,1,2933,True,127
8,12150,2,21,True,1252
9,12127,2,59,True,886
10,15225,2,309,True,909
11,2566,39,6410,True,15
12,10936,3,31,True,4666
13,10711,21,4607,True,10
14,13762,2,337,True,2178
15,7121,32,6254,True,43
16,11762,17,789,True,243
17,16494,15,3704,True,19
18,2899,14,288,True,2440
19,8761,2,1199,True,233
20,7032,2,337,True,2178
21,8840,2,102,True,1791
22,2155,4,4559,True,37
23,12348,3,31,True,4666
24,11480,22,233,True,240
25,3919,3,31,True,4666
26,3280,1,1136,True,173
27,15658,2,708,True,61
28,8698,3,370,True,564
29,14037,2,826,True,320
30,7578,2,485,True,2502
31,3872,4,760,True,79
32,12241,2,1215,True,128
33,1377,13,7525,True,56
34,8835,2,278,True,4431
35,9308,13,5127,True,82
36,1534,2,59,True,886
37,14949,4,170,True,241
38,16538,2,278,True,4431
39,15705,15,5844,True,13
40,5708,2,1265,True,203
41,14693,1,7084,True,84
42,6385,0,1023,True,10
43,1547,2,16725,True,8
44,3222,2,102,True,1791
45,14976,2,141,True,1524
46,13405,10,399,True,618
47,2658,14,288,True,2440
48,14041,2,5,True,3746
49,15744,4,7209,True,13
50,5357,5,13,True,593
51,12727,2,2592,True,17
52,4387,22,477,True,55
53,15284,15,1302,True,24
54,11684,2,826,True,320
55,3053,3,299,True,261
56,2667,2,1287,True,1009
57,10632,10,3882,True,104
58,939,1,2457,True,132
59,9763,2,278,True,4431
60,16987,15,1475,True,4
61,15986,22,951,True,49
62,8782,13,12021,True,20
63,4885,3,229,True,1054
64,5362,1,4570,True,46
65,4842,3,515,True,18
66,1412,8,386,True,137
67,15401,36,2331,True,0
68,12853,4,1727,True,134
69,9319,11,344,True,1206
70,3205,2,1442,True,460
71,10584,23,1418,True,2
72,2473,10,135,True,242
73,6439,2,2132,True,159
74,13333,2,534,True,631
75,9513,2,2771,True,66
76,13726,2,1985,True,75
77,12603,2,5,True,3746
78,302,7,747,True,180
79,13437,15,8486,True,24
80,296,7,8466,True,4
81,7838,1,93,True,783
82,11218,3,3082,True,166
83,15358,18,229,True,256
84,6865,2,83,True,2455
85,16304,2,2256,True,563
86,2403,6,1799,True,14
87,14536,2,4600,True,138
88,13100,10,399,True,618
89,5124,33,10250,True,0
90,10365,0,4121,True,4
91,5153,27,927,True,206
92,6256,15,1727,True,67
93,7936,2,273,True,775
94,7459,2,5,True,3746
95,13107,2,6871,True,101
96,2790,2,55,True,1451
97,4962,3,31,True,4666
98,4452,14,552,True,628
99,10863,2,8738,True,29
100,13117,2,9705,True,36
101,16262,3,229,True,1054
102,8256,4,3218,True,70
103,16360,2,275,True,1223
104,15487,13,145,True,133
105,14644,2,9692,True,44
106,9431,4,14315,True,16
107,11244,11,168,True,2346
108,10663,11,5809,True,63
109,14605,2,21,True,1252
110,11769,22,182,True,20
111,9732,15,384,True,150
112,7681,5,13,True,593
113,15102,24,12798,True,11
114,12101,2,55,True,1451
115,1025,1,93,True,783
116,9415,2,278,True,4431
117,15887,5,1360,True,35
118,159,2,17,True,299
119,14541,2,286,True,2308
120,7183,2,1287,True,1009
121,13217,25,14344,True,11
122,1398,2,518,True,564
123,86,4,758,True,151
124,7121,8,6254,True,37
125,13312,2,2132,True,159
126,5448,2,55,True,1451
127,14926,2,9092,True,29
128,7783,13,2022,True,147
129,7028,17,1810,True,128
130,4290,7,665,True,37
131,9345,14,288,True,2440
132,1892,1,2228,True,171
133,8912,20,1243,True,312
134,3736,25,3985,True,136
135,3565,2,313,True,2324
136,3435,2,131,True,443
137,5677,2,4583,True,100
138,11829,5,13,True,593
139,11920,2,273,True,775
140,4592,7,1852,True,78
141,14176,11,344,True,1206
142,12017,2,278,True,4431
143,3596,3,2687,True,68
144,6603,27,597,True,41
145,11009,2,17,True,299
146,11744,2,278,True,4431
147,2967,7,1799,True,78
148,15175,20,1846,True,123
149,5993,17,3451,True,25
150,14998,2,2383,True,70
151,12825,14,49,True,1016
152,6314,2,1014,True,628
153,1851,1,4570,True,46
154,8688,2,224,True,908
155,10733,11,39,True,3928
156,14659,3,332,True,129
157,1852,1,3,True,173
158,14393,10,3927,True,176
159,14458,11,168,True,2346
160,403,22,4330,True,48
161,4844,0,11535,True,2
162,9696,2,7841,True,67
163,12224,3,31,True,4666
164,11078,2,485,True,2502
165,8789,2,141,True,1524
166,17004,3,87,True,1659
167,8260,3,622,True,1
168,11357,2,1421,True,640
169,2004,2,485,True,2502
170,7116,15,758,True,72
171,14867,4,3216,True,131
172,1869,2,935,True,220
173,13123,2,1036,True,83
174,5357,2,5,True,3746
175,2144,10,135,True,242
176,6184,2,286,True,2308
177,4039,2,21,True,1252
178,10043,22,3969,True,2
179,14034,2,286,True,2308
180,3020,1,5846,True,34
181,14125,0,6904,True,1
182,7359,10,628,True,39
183,950,2,5,True,3746
184,9175,18,31,True,975
185,4884,2,408,True,332
186,14403,1,3224,True,48
187,10875,0,3041,True,4
188,12648,2,55,True,1451
189,15676,2,25,True,1758
190,347,4,170,True,241
191,14894,27,927,True,206
192,8175,10,927,True,182
193,10822,27,1840,True,91
194,12250,2,139,True,2927
195,12872,1,6084,True,132
196,7283,17,789,True,243
197,15433,10,641,True,155
198,3831,22,5398,True,28
199,8688,1,2056,True,20
200,8429,3,945,True,130
201,9168,2,224,True,908
202,2930,11,4274,True,44
203,12589,11,8126,True,31
204,13198,14,237,True,40
205,6319,3,31,True,4666
206,1971,2,4730,True,68
207,6681,23,453,True,5
208,4565,16,6638,True,14
209,11854,24,3273,True,35
210,2511,6,354,True,51
211,15922,2,1516,True,220
212,6757,0,9269,True,4
213,7321,2,337,True,2178
214,658,2,599,True,170
215,12803,3,31,True,4666
216,14656,14,11325,True,28
217,3660,2,14114,True,8
218,11432,14,288,True,2440
219,16734,25,317,True,356
220,1695,1,80,True,182
221,9604,2,273,True,775
222,15865,3,87,True,1659
223,10660,2,141,True,1524
224,6914,25,317,True,356
225,15738,2,1129,True,163
226,6306,0,9761,True,2
227,16869,2,309,True,909
228,11822,13,2022,True,147
229,6052,7,1852,True,78
230,11640,3,31,True,4666
231,4099,2,4935,True,39
232,2842,1,4247,True,62
233,15725,2,139,True,2927
234,179,2,278,True,4431
235,15863,10,399,True,618
236,6675,2,676,True,96
237,11137,4,2893,True,32
238,10850,4,3216,True,131
239,10355,2,485,True,2502
240,7710,11,344,True,1206
241,9906,2,139,True,2927
242,3316,2,309,True,909
243,12606,2,12519,True,24
244,11419,2,286,True,2308
245,8966,2,485,True,2502
246,7869,2,309,True,909
247,7333,2,5,True,3746
248,6350,2,1042,True,427
249,7611,10,479,True,27
250,9862,2,1735,True,183
251,11213,10,2859,True,17
252,110,7,4901,True,55
253,7701,2,278,True,4431
254,8956,2,485,True,2502
255,5572,3,87,True,1659
256,110,7,939,True,25
257,229,7,6219,True,50
258,15990,2,408,True,332
259,2299,7,804,True,43
260,16814,2,7977,True,12
261,4174,2,2256,True,563
262,4249,0,13058,True,0
263,13208,10,3156,True,10
264,6999,2,485,True,2502
265,10284,11,39,True,3928
266,15705,2,83,True,2455
267,9794,6,1407,True,6
268,693,11,168,True,2346
269,16597,3,87,True,1659
270,10824,10,164,True,139
271,15015,20,3493,True,57
272,6400,3,370,True,564
273,7693,2,2805,True,41
