,h_id,r_id,t_id,predicted_head,similar_triples
0,6180,148,2861,True,43
1,1454,92,5951,True,8
2,6651,13,637,True,362
3,1124,15,14037,True,1
4,1124,15,13245,True,1
5,140,6,6827,True,8
6,1899,7,6401,True,0
7,98,37,2794,True,1
8,9317,31,3257,True,138
9,3326,40,8901,True,4
10,411,13,68,True,290
11,9378,122,9995,True,1
12,10518,73,302,True,93
13,422,154,2438,True,455
14,2208,66,2388,True,16
15,2868,95,2940,True,95
16,12013,33,90,True,373
17,7603,103,4048,True,0
18,1718,157,8277,True,0
19,1718,157,10168,True,0
20,4143,101,1467,True,126
21,1234,18,2357,True,40
22,12739,131,181,True,4
23,1170,10,579,True,73
24,1170,10,233,True,68
25,44,118,774,True,411
26,10680,21,12790,True,0
27,9798,13,382,True,318
28,6850,24,1652,True,93
29,13757,50,3763,True,0
30,5308,124,10758,True,10
31,9923,101,3835,True,67
32,5335,230,6299,True,0
33,3826,7,1608,True,32
34,3826,7,5050,True,9
35,10695,17,215,True,863
36,441,32,1195,True,1
37,441,32,5044,True,2
38,441,8,4295,True,8
39,8254,110,494,True,225
40,4085,13,449,True,256
41,10469,186,718,True,3
42,10778,80,911,True,30
43,2279,71,130,True,0
44,2279,71,9410,True,0
45,5900,34,90,True,1164
46,10046,17,1002,True,574
47,92,23,3964,True,45
48,9937,39,10015,True,4
49,1642,32,3382,True,0
50,2259,7,7599,True,9
51,997,136,13843,True,5
52,5615,76,7523,True,1
53,966,19,1857,True,60
54,4361,6,4482,True,4
55,785,106,6679,True,7
56,2609,191,8799,True,17
57,7923,43,141,True,2914
58,6559,1,12201,True,1
59,3373,15,3049,True,2
60,5292,17,215,True,863
61,1180,102,4006,True,0
62,3628,19,8424,True,23
63,5478,12,2298,True,1
64,1284,10,5491,True,69
65,179,7,1984,True,6
66,2270,14,29,True,87
67,1411,167,1768,True,125
68,2002,6,469,True,6
69,10587,17,3482,True,77
70,371,7,8420,True,7
71,14072,52,13950,True,1
72,4734,35,4489,True,12
73,6342,13,382,True,318
74,5883,137,7613,True,16
75,5883,137,6009,True,12
76,7209,6,315,True,9
77,1177,89,13544,True,0
78,5733,86,7023,True,27
79,5090,85,1665,True,312
80,5059,6,6793,True,5
81,2955,22,4214,True,1
82,7904,17,789,True,161
83,9296,19,559,True,377
84,5495,6,2030,True,4
85,9137,17,131,True,286
86,1818,27,2319,True,9
87,1374,20,13295,True,1
88,9453,48,382,True,292
89,9453,41,1939,True,1
90,1375,21,5056,True,0
91,14460,83,9760,True,1
92,8313,132,11808,True,0
93,5299,226,10806,True,2
94,2232,19,9887,True,38
95,2232,19,337,True,24
96,2388,154,2438,True,455
97,2388,18,2436,True,29
98,12553,25,62,True,3612
99,982,7,5845,True,14
100,5145,14,160,True,1477
101,9718,21,3284,True,15
102,10935,13,1164,True,133
103,14151,94,12928,True,0
104,12040,40,7077,True,1
105,5692,146,5692,True,0
106,11341,48,32,True,2509
107,9557,155,5161,True,2
108,12891,133,853,True,7
109,2543,19,337,True,24
110,6785,166,90,True,353
111,8917,198,160,True,130
112,11880,72,2012,True,16
113,1119,89,12932,True,1
114,6929,43,141,True,2914
115,4511,124,4722,True,56
116,5649,48,32,True,2509
117,2055,156,1503,True,39
118,3416,216,13202,True,4
119,1518,26,2948,True,170
120,2937,48,32,True,2509
121,1304,23,209,True,165
122,985,42,897,True,3
123,4709,189,8227,True,2
124,2535,150,382,True,22
125,4036,6,8454,True,2
126,3853,19,1759,True,104
127,7316,25,62,True,3612
128,8326,93,688,True,11
129,6803,20,2557,True,7
130,6803,20,12223,True,9
131,10258,39,540,True,27
132,7879,48,32,True,2509
133,3105,17,4087,True,17
134,13239,58,11773,True,1
135,8364,19,1017,True,57
136,5647,7,5550,True,4
137,706,89,10376,True,5
138,1334,24,2309,True,1
139,12051,85,434,True,2586
140,2281,13,1080,True,298
141,8403,17,42,True,22
142,3632,26,1881,True,390
143,3632,13,622,True,147
144,4770,214,9335,True,2
145,4770,71,12081,True,0
146,4873,101,11875,True,32
147,8590,24,6319,True,2
148,1754,29,3794,True,16
149,1754,29,7468,True,4
150,2715,217,3433,True,65
151,11146,115,747,True,165
152,8178,47,6464,True,3
153,1127,7,9767,True,10
154,1127,7,1843,True,10
155,10903,41,1240,True,11
156,3371,17,862,True,2264
157,13452,212,4563,True,122
158,10932,101,1467,True,126
159,3967,17,1192,True,346
160,356,10,7603,True,19
161,12797,101,594,True,83
162,1327,15,105,True,3
163,11972,17,862,True,2264
164,2236,48,1124,True,365
165,270,7,3149,True,5
166,2563,24,12317,True,3
167,5875,66,3160,True,7
168,8923,6,5398,True,8
169,190,72,626,True,44
170,4411,31,136,True,416
171,3178,48,853,True,19
172,2168,13,816,True,299
173,3343,8,1468,True,33
174,525,14,1946,True,78
175,14317,46,152,True,55
176,1888,136,3696,True,0
177,10143,76,8001,True,1
178,8677,23,209,True,165
179,6164,100,10040,True,2
180,4029,22,1099,True,0
181,1608,12,2299,True,1
182,11207,71,10512,True,1
183,3785,14,5334,True,180
184,957,48,32,True,2509
185,4156,173,12483,True,0
186,2781,6,4681,True,8
187,196,7,7152,True,15
188,3397,29,1302,True,22
189,2582,19,4686,True,55
190,5354,34,90,True,1164
191,11759,96,11622,True,24
192,842,101,3184,True,9
193,6046,60,90,True,457
194,4296,106,43,True,34
195,1017,7,893,True,20
196,2419,224,6130,True,1
197,5994,61,6923,True,16
198,10618,17,862,True,2264
199,4433,6,5891,True,6
200,5376,17,6198,True,82
201,6,66,0,True,1
202,1827,10,1909,True,12
203,3587,100,160,True,501
204,5796,110,494,True,225
205,6021,26,64,True,806
206,4086,19,931,True,90
207,410,32,1608,True,3
208,410,32,6028,True,0
209,10559,106,8016,True,1
210,69,7,1704,True,19
211,2556,42,7991,True,3
212,6653,35,3408,True,35
213,8381,85,434,True,2586
214,377,7,10459,True,3
215,275,174,1830,True,20
216,1306,149,2698,True,0
217,6690,85,434,True,2586
218,5549,13,419,True,181
219,4233,14,11307,True,11
220,10390,176,11506,True,11
221,4856,26,8130,True,45
222,2134,17,862,True,2264
223,6214,13,27,True,296
224,4879,48,4474,True,10
225,1036,116,4639,True,12
226,10190,43,384,True,803
227,1031,42,8030,True,14
228,8601,222,1046,True,0
229,5115,26,1877,True,95
230,13236,17,871,True,575
231,11187,66,249,True,123
232,8096,31,4,True,925
233,11160,25,62,True,3612
234,6693,101,6854,True,62
235,4823,223,4624,True,9
236,1823,13,7467,True,96
237,6138,47,1025,True,5
238,4688,17,131,True,286
239,4831,100,160,True,501
240,7013,14,10013,True,8
241,3589,13,2046,True,189
242,12193,233,557,True,1
243,7830,95,521,True,198
244,3044,31,136,True,416
245,212,42,3940,True,2
246,1654,7,6031,True,2
247,6453,104,2203,True,4
248,6453,29,1163,True,21
249,9115,17,1415,True,272
250,2687,76,8895,True,0
251,4246,13,2410,True,271
252,8661,17,215,True,863
253,7583,13,1080,True,298
254,1062,7,1132,True,3
255,2693,20,3628,True,2
256,9604,38,1743,True,4
257,6238,13,75,True,229
258,35,136,2235,True,1
259,6614,217,10141,True,7
260,10305,6,7443,True,17
261,11618,56,11618,True,0
262,9013,13,2410,True,271
263,1330,89,8649,True,6
264,1741,76,3121,True,3
265,5845,13,4474,True,191
266,4824,31,1313,True,191
267,5074,13,274,True,292
268,8317,43,141,True,2914
269,1097,31,6607,True,109
270,1097,13,27,True,296
271,8865,176,8447,True,20
272,7671,19,559,True,377
273,1833,115,6114,True,148
274,4863,183,4725,True,10
275,4304,10,1403,True,16
276,9208,137,8161,True,18
277,3334,26,1877,True,95
278,955,47,8774,True,1
279,2751,20,8988,True,3
280,2751,20,9559,True,19
281,2751,20,9509,True,7
282,4836,150,32,True,101
283,4836,46,6296,True,14
284,8557,25,62,True,3612
285,7938,120,791,True,788
286,8847,25,62,True,3612
287,5319,27,4124,True,1
288,5319,27,1662,True,1
289,502,7,10891,True,1
290,10495,116,6627,True,5
291,4413,63,7191,True,0
292,4413,63,13953,True,0
293,4413,63,8034,True,0
294,2769,29,8312,True,10
295,2769,29,1131,True,2
296,857,35,6778,True,17
297,3342,14,12043,True,5
298,3181,89,11357,True,3
299,4450,6,2281,True,14
300,7803,26,2948,True,170
301,10523,184,3902,True,9
302,1155,17,862,True,2264
303,1155,6,12744,True,9
